Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s),Target dim is measured in number of hash bits
Fasttext,LSH,300,15,1,0.026666667,0.00125,
Fasttext,LSH,300,15,3,0.037777778,0.00125,
Fasttext,LSH,300,15,6,0.047777778,0.00125,
Fasttext,LSH,300,15,10,0.057666667,0.00125,
Fasttext,LSH,300,15,15,0.070444444,0.00125,
Fasttext,LSH,300,30,1,0.05,0.0022881,
Fasttext,LSH,300,30,3,0.074444444,0.0022881,
Fasttext,LSH,300,30,6,0.078333333,0.0022881,
Fasttext,LSH,300,30,10,0.085666667,0.0022881,
Fasttext,LSH,300,30,15,0.096222222,0.0022881,
Fasttext,LSH,300,60,1,0.096666667,0.0021828,
Fasttext,LSH,300,60,3,0.134444444,0.0021828,
Fasttext,LSH,300,60,6,0.138333333,0.0021828,
Fasttext,LSH,300,60,10,0.129666667,0.0021828,
Fasttext,LSH,300,60,15,0.136888889,0.0021828,
Fasttext,LSH,300,120,1,0.16,0.0031084,
Fasttext,LSH,300,120,3,0.22,0.0031084,
Fasttext,LSH,300,120,6,0.195555556,0.0031084,
Fasttext,LSH,300,120,10,0.188333333,0.0031084,
Fasttext,LSH,300,120,15,0.182444444,0.0031084,
Fasttext,LSH,300,180,1,0.22,0.003921,
Fasttext,LSH,300,180,3,0.248888889,0.003921,
Fasttext,LSH,300,180,6,0.235,0.003921,
Fasttext,LSH,300,180,10,0.224,0.003921,
Fasttext,LSH,300,180,15,0.223777778,0.003921,
