Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Isolet,LSH,200,10,1,0.03,0.0013379
Isolet,LSH,200,10,3,0.077777778,0.0013379
Isolet,LSH,200,10,6,0.106666667,0.0013379
Isolet,LSH,200,10,10,0.138,0.0013379
Isolet,LSH,200,10,15,0.172222222,0.0013379
Isolet,LSH,200,20,1,0.056666667,0.0014561
Isolet,LSH,200,20,3,0.128888889,0.0014561
Isolet,LSH,200,20,6,0.163333333,0.0014561
Isolet,LSH,200,20,10,0.208333333,0.0014561
Isolet,LSH,200,20,15,0.246666667,0.0014561
Isolet,LSH,200,40,1,0.113333333,0.0019688
Isolet,LSH,200,40,3,0.211111111,0.0019688
Isolet,LSH,200,40,6,0.237222222,0.0019688
Isolet,LSH,200,40,10,0.297,0.0019688
Isolet,LSH,200,40,15,0.337111111,0.0019688
Isolet,LSH,200,80,1,0.193333333,0.0021129
Isolet,LSH,200,80,3,0.296666667,0.0021129
Isolet,LSH,200,80,6,0.355,0.0021129
Isolet,LSH,200,80,10,0.402666667,0.0021129
Isolet,LSH,200,80,15,0.430888889,0.0021129
Isolet,LSH,200,120,1,0.266666667,0.0028552
Isolet,LSH,200,120,3,0.365555556,0.0028552
Isolet,LSH,200,120,6,0.421666667,0.0028552
Isolet,LSH,200,120,10,0.471,0.0028552
Isolet,LSH,200,120,15,0.498,0.0028552
